label	category
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax.
"
0	" Syntax.
"
0	" Syntax.
"
0	" Syntax.
"
0	" Syntax.
"
0	" Syntex. 
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax, morphology
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Semantics
"
1	" None
"
0	" Syntax, morphology
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax, semantics
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Semantics
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax, morphology
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax, morphology
"
0	" Syntax
"
0	" Syntax, semantics
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax, semantics
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
0	" Syntax, morphology
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax
"
0	" Syntax, morphology
"
0	" Syntax
"
0	" Syntax, pronoun agreement
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
0	" Morphology
"
1	" None
"
0	" Syntax
"
0	" Morphology
"
0	" Morphology
"
0	" Morphology
"
1	" None
"
0	" Morphology
"
0	" Morphology
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
1	" None
"
0	" Syntax
"
1	" None
"
0	" Syntax
"
0	" Syntax
"
1	" None
"
1	" None
"
1	" None
"
1	" None
"
